Time (s),Velocity Beam 1 (m/s),Velocity Beam 2 (m/s),Velocity Beam 3 (m/s),Velocity Beam 4 (m/s)
1720611642.002,"[0.0467, 0.1207, 0.1494]","[-0.0204, -0.0422, 0.054]","[-0.1756, -0.096, -0.0629]","[-0.1443, -0.0932, 0.0629]"
1720611642.002,"[0.1133, 0.0618, 0.0266]","[-0.0453, -0.0291, -0.0651]","[-0.1355, -0.1866, -0.0814]","[0.0409, -0.1145, 0.024]"
1720611642.002,"[-0.0015, -0.0271, 0.0927]","[-0.1113, -0.0914, -0.0926]","[-0.2729, -0.2434, -0.1767]","[-0.0842, -0.1579, 0.0607]"
1720611642.018,"[-0.0361, -0.0987, -0.0497]","[-0.1729, -0.1178, -0.0795]","[-0.2485, -0.217, -0.0762]","[-0.2396, -0.1881, -0.0316]"
1720611642.018,"[-0.109, -0.0671, -0.0563]","[-0.11, -0.0938, -0.0725]","[-0.2484, -0.1725, -0.1431]","[-0.2346, -0.1518, -0.1078]"
1720611642.034,"[-0.1033, -0.014, -0.006]","[-0.1087, -0.0584, -0.0491]","[-0.2708, -0.1929, -0.0948]","[-0.3209, -0.1397, -0.084]"
1720611642.049,"[-0.1778, -0.0033, 0.1422]","[0.0976, -0.028, 0.078]","[-0.0018, -0.1253, -0.1692]","[-0.3304, -0.1404, -0.1705]"
1720611642.049,"[-0.259, -0.0941, 0.0672]","[0.0789, -0.0561, 0.1599]","[-0.0435, -0.1724, -0.1083]","[-0.2397, -0.2293, 0.0432]"
1720611642.065,"[-0.1643, 0.0216, 0.1085]","[0.1212, 0.0368, 0.1542]","[0.3908, -0.0422, -0.0677]","[0.098, -0.0973, -0.1068]"
1720611642.065,"[0.0955, 0.1402, 0.1002]","[0.1332, 0.1379, 0.0354]","[-0.018, -0.0074, -0.0318]","[0.0229, 0.0197, 0.0257]"
1720611642.08,"[0.1515, 0.22, 0.1427]","[0.2561, 0.1988, 0.0711]","[0.003, 0.1641, -0.0142]","[0.0215, 0.1986, 0.1198]"
1720611642.096,"[0.1677, 0.0963, 0.1717]","[0.1926, 0.1501, 0.1071]","[0.0725, -0.2155, -0.1258]","[0.0224, 0.1172, 0.1013]"
1720611642.103,"[0.2122, 0.2217, 0.0579]","[0.1817, 0.1613, 0.1041]","[0.0784, 0.109, 0.014]","[0.1749, 0.1966, 0.3882]"
1720611642.118,"[0.2439, 0.2258, 0.1851]","[0.2047, 0.1996, 0.036]","[0.0907, 0.1788, 0.0457]","[0.1922, 0.177, 0.1008]"
1720611642.118,"[0.2617, 0.1858, 0.1445]","[0.243, 0.1586, 0.0979]","[0.0855, 0.0475, 0.0219]","[0.1932, 0.1088, 0.057]"
1720611642.134,"[0.231, 0.1874, 0.1465]","[0.1242, 0.138, 0.064]","[0.1055, 0.0742, -0.0087]","[0.1317, 0.1293, 0.0624]"
1720611642.165,"[0.3136, 0.1855, 0.1444]","[0.1083, 0.0984, 0.0542]","[0.0401, 0.04, -0.0037]","[0.1738, 0.1224, 0.0861]"
1720611642.165,"[0.2255, 0.2306, 0.1645]","[0.1266, 0.1334, 0.0536]","[-0.0154, 0.0534, 0.0083]","[0.1603, 0.1482, 0.0794]"
1720611642.165,"[0.2094, 0.2248, 0.1802]","[0.1157, 0.133, 0.0751]","[-0.0137, 0.0365, -0.0078]","[0.0883, 0.1303, 0.0738]"
1720611642.165,"[0.1981, 0.0444, 0.0357]","[0.0913, -0.0493, -0.019]","[-0.059, -0.1474, -0.0963]","[-0.0107, -0.0542, -0.0382]"
1720611642.181,"[0.1844, 0.0468, 0.2501]","[0.0348, -0.0404, 0.0849]","[-0.0881, -0.1377, 0.0134]","[0.0865, -0.0648, 0.0416]"
1720611642.196,"[0.177, 0.0313, 0.1405]","[0.0276, 0.0018, 0.0609]","[-0.1163, -0.1161, -0.0374]","[0.0379, -0.0273, 0.0525]"
1720611642.203,"[0.0775, 0.0875, -0.0079]","[-0.0644, 0.0229, -0.0621]","[-0.1668, -0.0995, -0.1352]","[-0.0543, -0.028, -0.041]"
1720611642.218,"[0.0503, -0.0225, 0.0317]","[-0.093, -0.0952, -0.0764]","[-0.1937, -0.2151, -0.1917]","[-0.0637, -0.1078, -0.0925]"
1720611642.218,"[-0.0046, -0.0049, 0.0506]","[-0.0885, -0.145, -0.0785]","[-0.1902, -0.1804, -0.1564]","[-0.1498, -0.0618, 0.0263]"
1720611642.234,"[-0.0008, 0.0443, 0.0328]","[-0.0878, -0.1037, -0.0938]","[-0.1484, -0.1175, -0.1987]","[-0.1284, -0.065, -0.0566]"
1720611642.234,"[-0.0511, 0.0252, 0.0509]","[-0.0538, -0.0695, -0.0661]","[-0.0985, -0.1399, -0.1682]","[-0.1385, -0.071, -0.0747]"
1720611642.25,"[0.0392, 0.0544, 0.1077]","[-0.0539, -0.0655, -0.0896]","[-0.1145, -0.1306, -0.1633]","[-0.0512, 0.0292, -0.0207]"
1720611642.265,"[0.0306, 0.0064, 0.0941]","[-0.0941, -0.0953, -0.0482]","[-0.1458, -0.1218, -0.1288]","[-0.0421, -0.0044, -0.0354]"
1720611642.265,"[-0.015, 0.0432, 0.0482]","[-0.0455, -0.057, -0.0491]","[-0.0372, -0.1294, -0.1099]","[-0.0467, -0.0258, 0.0267]"
1720611642.281,"[-0.1102, 0.0292, 0.03]","[0.01, -0.0535, -0.051]","[0.0341, -0.1259, -0.1352]","[-0.0488, -0.0364, 0.0028]"
1720611642.297,"[-0.0699, 0.0408, -0.0175]","[-0.0817, -0.0832, -0.137]","[-0.1432, -0.0679, -0.1511]","[-0.0307, -0.0183, -0.0813]"
1720611642.319,"[0.0012, -0.0211, -0.0107]","[-0.11, -0.0216, -0.1203]","[-0.0918, -0.0914, -0.16]","[-0.0343, -0.0865, -0.0293]"
1720611642.319,"[-0.035, -0.0412, -0.2834]","[-0.0173, -0.1472, -0.0861]","[-0.025, -0.1839, -0.0039]","[-0.0231, -0.0675, -0.1193]"
1720611642.319,"[0.0094, -0.0563, -0.0977]","[-0.0057, -0.0639, -0.1244]","[-0.0255, -0.0589, -0.0249]","[-0.1378, -0.1243, -0.1298]"
1720611642.334,"[-0.0059, -0.0116, -0.0675]","[0.1002, -0.0236, -0.1215]","[-0.1282, -0.1021, -0.0905]","[-0.096, -0.0919, -0.1221]"
1720611642.334,"[-0.0574, -0.0358, -0.0341]","[-0.0239, -0.0647, -0.1125]","[-0.0957, -0.1464, -0.1543]","[-0.1124, -0.1454, -0.1342]"
1720611642.35,"[-0.058, -0.0684, -0.0444]","[-0.0349, -0.0484, -0.0494]","[-0.1062, -0.1165, -0.1172]","[-0.1254, -0.1427, -0.1908]"
1720611642.366,"[-0.061, -0.0673, -0.0404]","[-0.0457, -0.0453, -0.0352]","[-0.111, -0.116, -0.0906]","[-0.1379, -0.1361, -0.1155]"
1720611642.366,"[-0.0561, -0.0723, -0.0926]","[-0.0533, -0.0439, -0.0152]","[-0.1173, -0.1218, -0.0808]","[-0.1743, -0.1397, -0.1445]"
1720611642.381,"[-0.0238, -0.0706, -0.0284]","[-0.0153, -0.0557, -0.078]","[-0.0265, -0.0963, -0.1318]","[-0.0304, -0.1569, -0.0797]"
1720611642.397,"[0.0357, -0.0505, -0.1139]","[0.1447, -0.1002, -0.0372]","[-0.05, -0.0934, -0.0679]","[-0.0127, -0.1535, -0.0189]"
1720611642.403,"[-0.2662, -0.1817, -0.0746]","[-0.1327, 0.1226, 0.0944]","[-0.1113, -0.0585, -0.2901]","[-0.1092, -0.1829, -0.144]"
1720611642.419,"[-0.0694, 0.1192, -0.09]","[0.3402, 0.2021, 0.0454]","[-0.0729, -0.1382, -0.0556]","[-0.1414, -0.116, -0.0934]"
1720611642.419,"[-0.0352, -0.1, -0.0868]","[0.1635, -0.0789, 0.0002]","[-0.0516, -0.0475, -0.1111]","[-0.0905, -0.147, -0.0733]"
1720611642.435,"[-0.0151, -0.0585, -0.0872]","[-0.1261, -0.0707, -0.1219]","[-0.0161, -0.0554, -0.0098]","[-0.0286, -0.0943, -0.0536]"
1720611642.435,"[0.0213, -0.0554, -0.038]","[0.0588, 0.0289, -0.002]","[0.0548, -0.0696, -0.0713]","[-0.0398, -0.0827, -0.0057]"
1720611642.45,"[0.0833, -0.0373, -0.041]","[0.1597, 0.0527, -0.0711]","[-0.0144, -0.0421, -0.0268]","[0.0302, -0.0703, 0.0249]"
1720611642.481,"[0.0815, 0.0219, 0.0745]","[0.0426, 0.2271, 0.0592]","[0.2647, 0.0109, -0.0866]","[0.3159, 0.0851, 0.159]"
1720611642.481,"[0.2365, 0.0455, 0.054]","[0.116, 0.0381, 0.1632]","[0.0213, 0.0139, -0.0188]","[0.1222, 0.0692, 0.1725]"
1720611642.481,"[0.1114, 0.1302, 0.1255]","[0.1108, 0.0745, 0.0721]","[0.0375, 0.0464, 0.0126]","[0.0946, 0.0709, 0.0686]"
1720611642.497,"[0.0782, 0.0801, 0.0888]","[0.1583, 0.0418, 0.0484]","[0.0111, -0.0106, -0.0102]","[0.2801, 0.2082, -0.0114]"
1720611642.504,"[0.1596, 0.0655, 0.0717]","[0.0626, 0.0258, 0.0584]","[-0.0681, -0.0129, -0.0015]","[-0.056, -0.0214, 0.0873]"
1720611642.519,"[0.1566, 0.1456, 0.1953]","[0.2812, 0.0675, 0.0394]","[0.0202, 0.0609, 0.0315]","[0.1012, 0.0871, 0.1092]"
1720611642.519,"[0.1184, 0.1523, 0.1818]","[0.0533, 0.1082, 0.0019]","[-0.004, 0.0439, 0.0143]","[0.0868, 0.0805, 0.12]"
1720611642.535,"[0.1271, 0.142, 0.1444]","[0.164, 0.0511, 0.0535]","[-0.0168, 0.0015, 0.0206]","[0.0672, 0.075, 0.0415]"
1720611642.535,"[0.1384, 0.0858, 0.0515]","[0.0461, 0.0356, -0.0218]","[-0.0298, -0.0522, 0.0219]","[0.053, 0.0437, 0.0267]"
1720611642.55,"[0.1008, 0.1488, 0.1144]","[0.0334, 0.0639, 0.0965]","[-0.0344, 0.0031, 0.0159]","[0.046, 0.0883, 0.0818]"
1720611642.566,"[0.1304, 0.1235, 0.0822]","[0.0259, 0.0907, 0.014]","[-0.0022, -0.1043, -0.0335]","[0.0509, 0.029, 0.0129]"
1720611642.566,"[0.1066, 0.1299, 0.0845]","[0.0736, 0.0695, 0.0154]","[0.0147, -0.0254, -0.0641]","[0.0763, 0.0383, -0.0114]"
1720611642.582,"[0.1451, 0.1422, 0.1617]","[0.0907, 0.0744, 0.0905]","[-0.0032, -0.0203, -0.0612]","[0.035, 0.0373, 0.0152]"
1720611642.597,"[0.1378, 0.1992, 0.187]","[0.057, 0.0718, 0.1214]","[0.0557, 0.0326, -0.0143]","[0.1066, 0.1105, 0.0578]"
1720611642.604,"[0.1646, 0.18, 0.1891]","[0.0152, 0.0923, 0.11]","[-0.0352, 0.0377, 0.0039]","[0.0688, 0.1069, 0.023]"
1720611642.604,"[0.1226, 0.1256, 0.0717]","[-0.0076, 0.063, 0.0099]","[-0.1057, -0.0236, 0.017]","[0.0733, 0.0831, 0.0413]"
1720611642.635,"[0.0453, -0.0012, 0.0733]","[-0.0281, -0.0936, -0.0828]","[-0.0678, -0.1285, 0.0227]","[0.0361, -0.0351, -0.0151]"
1720611642.635,"[0.0516, 0.0164, 0.0971]","[-0.0295, -0.0519, -0.0729]","[-0.0881, -0.053, -0.0942]","[0.0701, 0.043, -0.0525]"
1720611642.635,"[0.0565, 0.135, 0.223]","[-0.0237, -0.0229, -0.0327]","[-0.1566, -0.1621, -0.0941]","[-0.0224, -0.0071, 0.0481]"
1720611642.651,"[0.0763, 0.0635, 0.1218]","[-0.0093, -0.066, -0.0299]","[-0.1527, -0.1529, -0.0885]","[-0.0514, -0.0474, -0.011]"
1720611642.666,"[0.1765, 0.0532, 0.1066]","[0.1103, -0.0732, -0.0133]","[-0.1068, -0.1241, -0.0797]","[0.0029, -0.016, 0.0198]"
1720611642.666,"[0.0367, -0.0136, 0.0142]","[-0.0294, -0.0913, 0.0276]","[-0.0734, -0.0828, -0.0704]","[0.023, -0.0231, -0.0541]"
1720611642.682,"[0.0852, 0.1897, 0.0686]","[-0.0147, 0.0751, -0.0366]","[0.0637, 0.0453, -0.0908]","[0.1617, 0.1499, -0.0037]"
1720611642.698,"[0.2492, 0.2931, 0.0902]","[0.0867, 0.1366, 0.0103]","[0.0468, -0.0025, -0.0767]","[0.2239, 0.1707, 0.0099]"
1720611642.704,"[0.2236, 0.2286, 0.1495]","[0.112, 0.108, -0.0105]","[-0.1233, 0.0153, -0.0447]","[0.0189, 0.1289, 0.0937]"
1720611642.704,"[0.1118, 0.0511, 0.0527]","[-0.009, -0.0588, -0.0169]","[-0.143, -0.182, -0.0873]","[0.0299, -0.0378, 0.042]"
1720611642.72,"[0.0419, 0.0449, 0.008]","[-0.1285, -0.1269, -0.1478]","[-0.1582, -0.1794, -0.1916]","[0.078, -0.0043, -0.0469]"
1720611642.735,"[0.0665, 0.0428, -0.0026]","[-0.2111, -0.1323, -0.1069]","[-0.2344, -0.152, -0.2132]","[-0.1086, -0.0201, -0.0493]"
1720611642.735,"[-0.1541, -0.0171, -0.0172]","[-0.2074, -0.1496, -0.17]","[-0.2325, -0.2058, -0.2362]","[-0.1387, -0.0593, -0.0824]"
1720611642.751,"[-0.1383, 0.0529, 0.0223]","[-0.1941, -0.0973, -0.0889]","[-0.2347, -0.1247, -0.2585]","[-0.1324, 0.0304, 0.0154]"
1720611642.767,"[-0.107, 0.008, -0.0049]","[-0.1907, -0.1069, -0.0973]","[-0.1932, -0.1539, -0.155]","[-0.1362, -0.0134, -0.0421]"
1720611642.767,"[-0.1011, -0.0242, -0.0224]","[-0.1392, -0.1416, -0.1389]","[-0.1557, -0.1704, -0.1599]","[-0.097, -0.0601, -0.0376]"
1720611642.798,"[0.0028, -0.0096, -0.0813]","[-0.205, -0.1258, -0.1198]","[-0.187, -0.1317, -0.1711]","[-0.1545, -0.0513, -0.0566]"
1720611642.798,"[-0.0761, -0.0186, 0.0758]","[-0.0873, -0.1089, -0.0912]","[-0.1484, -0.1321, -0.1443]","[-0.1142, -0.0447, -0.0533]"
1720611642.804,"[0.0243, 0.0063, 0.0285]","[-0.1075, -0.0955, -0.0646]","[-0.1144, -0.1331, -0.1284]","[0.0192, -0.0337, -0.0225]"
1720611642.804,"[-0.0631, -0.0068, -0.0003]","[-0.07, -0.0951, -0.0901]","[-0.1192, -0.1406, -0.1319]","[-0.0128, -0.0564, -0.0456]"
1720611642.82,"[0.0233, 0.0088, 0.0086]","[-0.0837, -0.0895, -0.0939]","[-0.0912, -0.1284, -0.1427]","[-0.0326, -0.0414, -0.0379]"
1720611642.836,"[0.0953, 0.0042, 0.0518]","[-0.069, -0.0857, -0.0975]","[-0.1023, -0.1354, -0.1503]","[0.0086, -0.0423, -0.0416]"
1720611642.836,"[0.0997, 0.0462, 0.0446]","[-0.0477, -0.0849, -0.1092]","[-0.2029, -0.1702, -0.1586]","[-0.0304, -0.0443, -0.0462]"
1720611642.851,"[0.0595, 0.0395, 0.0229]","[-0.0615, -0.0728, -0.125]","[-0.203, -0.1701, -0.1732]","[-0.0648, -0.0487, -0.0412]"
1720611642.867,"[-0.0298, -0.0215, -0.0129]","[-0.044, -0.1107, -0.1625]","[-0.1574, -0.2008, -0.1683]","[-0.0596, -0.114, -0.0496]"
1720611642.867,"[-0.0478, -0.0101, -0.0611]","[-0.0528, -0.114, -0.2014]","[-0.1408, -0.0978, -0.1818]","[-0.1141, -0.1276, -0.1324]"
1720611642.883,"[-0.0154, 0.0339, 0.0105]","[-0.0381, -0.0416, -0.0923]","[-0.1123, -0.0833, -0.1577]","[-0.1147, -0.0416, -0.0903]"
1720611642.898,"[0.0323, 0.1113, 0.1022]","[-0.0393, 0.0361, -0.1227]","[-0.0864, -0.054, -0.1058]","[-0.0652, 0.0427, 0.1368]"
1720611642.905,"[0.1029, 0.1276, -0.0873]","[-0.0159, 0.0236, -0.1248]","[-0.1461, 0.0015, -0.0948]","[-0.0188, 0.094, 0.0879]"
1720611642.905,"[0.0814, 0.1201, -0.0134]","[0.0203, 0.0429, -0.0061]","[0.0288, 0.0138, -0.0571]","[-0.0185, 0.0915, -0.0332]"
1720611642.92,"[0.107, 0.1187, 0.0209]","[0.071, 0.0721, -0.0001]","[-0.0432, -0.018, -0.0446]","[0.0438, 0.06, 0.0153]"
1720611642.936,"[0.1327, 0.1706, -0.0309]","[0.004, 0.073, -0.0145]","[-0.0317, 0.0389, -0.0807]","[-0.0089, 0.0973, -0.0841]"
1720611642.952,"[0.0778, 0.1342, -0.0023]","[-0.0387, 0.1054, 0.0596]","[-0.0996, -0.0011, -0.0839]","[-0.0654, 0.0663, -0.0786]"
1720611642.952,"[0.058, 0.1343, 0.0603]","[-0.0347, 0.0537, 0.0161]","[-0.0871, 0.0031, -0.0835]","[-0.0021, 0.0627, -0.0317]"
1720611642.967,"[0.0817, 0.0885, -0.0329]","[-0.0019, 0.0446, -0.0734]","[-0.0697, -0.0283, -0.1216]","[0.037, 0.048, 0.0838]"
1720611642.967,"[0.0882, 0.056, 0.0879]","[-0.0145, -0.0456, 0.0007]","[-0.0882, -0.0629, -0.0117]","[-0.0077, -0.0246, -0.0977]"
1720611642.983,"[0.0297, 0.0408, 0.0378]","[-0.0381, -0.0359, 0.0492]","[-0.0948, -0.0715, -0.093]","[-0.0407, -0.0169, 0.1209]"
1720611642.998,"[-0.0303, 0.0162, 0.0302]","[-0.0419, -0.0343, -0.0541]","[-0.0945, -0.0578, -0.0688]","[-0.0437, -0.0233, -0.0338]"
1720611643.005,"[0.023, -0.0057, 0.0244]","[-0.0319, -0.0485, -0.0473]","[-0.0792, -0.0916, -0.0792]","[-0.0225, -0.0323, -0.0368]"
1720611643.005,"[0.0123, 0.0149, 0.0854]","[-0.0531, -0.041, -0.0009]","[-0.0684, -0.0884, -0.0773]","[-0.0186, -0.0477, 0.0325]"
1720611643.021,"[0.0293, 0.0354, 0.0856]","[-0.001, -0.0391, 0.0128]","[-0.0538, -0.0742, -0.0124]","[-0.0109, -0.0326, 0.0326]"
1720611643.036,"[0.0368, 0.0823, 0.1674]","[-0.0402, -0.0176, 0.0599]","[0.0095, 0.0274, 0.0055]","[0.0031, 0.0333, 0.0328]"
1720611643.036,"[0.0405, 0.0821, 0.1446]","[0.0294, 0.0045, 0.0275]","[-0.0167, -0.0069, 0.0168]","[0.0148, 0.0563, 0.0522]"
1720611643.052,"[0.0331, 0.0485, 0.0241]","[-0.0494, -0.0127, -0.0291]","[-0.0712, -0.0325, 0.0111]","[0.0038, 0.0686, 0.0602]"
1720611643.067,"[-0.0887, 0.0332, 0.0491]","[-0.0978, -0.0166, 0.0263]","[-0.0975, -0.0741, -0.0768]","[-0.0888, -0.0124, 0.0328]"
1720611643.067,"[-0.0693, -0.0203, -0.0141]","[-0.0982, -0.0629, -0.0483]","[-0.1148, -0.1232, -0.1318]","[-0.0736, -0.0183, -0.0404]"
1720611643.083,"[-0.0758, -0.0616, -0.0174]","[-0.1088, -0.1186, -0.1132]","[-0.0743, -0.1382, -0.1561]","[-0.0552, -0.0526, -0.0027]"
1720611643.099,"[-0.0484, -0.0734, -0.0737]","[-0.0831, -0.1464, 0.0023]","[-0.0809, -0.15, -0.053]","[-0.0171, -0.0843, 0.0234]"
1720611643.121,"[0.0109, -0.0144, -0.0331]","[-0.0557, -0.123, -0.1652]","[-0.048, -0.148, -0.1996]","[0.0029, -0.0613, -0.1036]"
1720611643.121,"[-0.0149, -0.0411, -0.0278]","[-0.0769, -0.1088, -0.1202]","[-0.1074, -0.1489, -0.1768]","[-0.0144, -0.0652, -0.0941]"
1720611643.121,"[-0.0599, 0.0115, 0.0979]","[-0.0667, -0.1036, -0.0688]","[-0.1202, -0.1225, -0.1379]","[-0.0698, -0.0933, -0.0119]"
1720611643.138,"[-0.0286, -0.0737, 0.0705]","[-0.043, -0.0991, -0.0385]","[-0.1132, -0.0954, -0.0616]","[-0.0689, -0.0568, 0.044]"
1720611643.138,"[-0.0136, 0.0252, 0.0326]","[-0.0465, -0.0809, -0.0766]","[-0.1046, -0.0728, -0.1053]","[-0.0404, -0.1033, -0.0249]"
1720611643.154,"[0.0569, 0.0861, 0.0916]","[-0.0605, -0.0271, -0.0666]","[-0.1855, -0.0632, -0.0726]","[0.0194, 0.0355, 0.0034]"
1720611643.169,"[0.0335, 0.0695, 0.1029]","[-0.019, -0.013, 0.0095]","[-0.182, -0.0829, -0.0328]","[-0.0445, 0.0136, 0.0297]"
1720611643.169,"[0.0191, 0.0166, 0.07]","[-0.0967, 0.0034, 0.0061]","[-0.2121, -0.1652, 0.0085]","[-0.0452, -0.0318, 0.0341]"
1720611643.185,"[-0.013, -0.0712, -0.1157]","[-0.1218, -0.1161, -0.0228]","[-0.201, -0.2039, -0.0592]","[-0.0829, -0.1455, 0.0094]"
1720611643.185,"[-0.0827, -0.0784, 0.0175]","[-0.1207, -0.132, -0.0692]","[-0.1515, -0.1609, -0.0543]","[-0.186, -0.1227, -0.0321]"
1720611643.205,"[-0.084, -0.0616, -0.0828]","[-0.1297, -0.0903, -0.0278]","[-0.1136, -0.1079, -0.028]","[-0.2238, -0.0467, -0.0371]"
1720611643.205,"[-0.0951, -0.0149, 0.1403]","[-0.0928, -0.0625, -0.0445]","[-0.1055, -0.0943, -0.0015]","[-0.2007, -0.0619, 0.0158]"
1720611643.221,"[-0.0584, -0.0087, 0.0166]","[-0.0548, -0.1385, -0.038]","[-0.0851, -0.1086, 0.0511]","[-0.1725, -0.1675, -0.0493]"
1720611643.236,"[-0.0456, -0.0314, -0.1269]","[-0.0479, -0.1321, -0.0479]","[-0.0851, -0.0441, -0.0561]","[-0.1387, -0.1221, 0.002]"
1720611643.236,"[-0.0666, -0.0229, 0.0632]","[-0.0492, -0.0907, -0.0392]","[-0.1238, -0.0541, -0.1079]","[-0.1965, -0.031, -0.0158]"
1720611643.252,"[-0.0665, -0.0063, 0.0053]","[-0.0624, -0.0485, -0.0866]","[-0.1251, -0.0549, -0.0291]","[-0.0986, -0.0379, -0.0156]"
1720611643.299,"[-0.0627, 0.001, 0.0355]","[-0.0737, -0.0747, 0.0162]","[-0.1048, -0.041, -0.0375]","[-0.0642, -0.0246, -0.0185]"
1720611643.299,"[-0.0159, -0.0191, 0.0766]","[-0.0605, -0.0595, 0.0052]","[-0.0922, -0.0409, -0.0247]","[-0.035, -0.0157, -0.0164]"
1720611643.299,"[-0.0005, -0.026, 0.0943]","[-0.0445, -0.0465, 0.0372]","[-0.1122, -0.0374, -0.0159]","[-0.0492, -0.0199, 0.0174]"
1720611643.299,"[-0.0729, 0.0269, 0.0985]","[-0.0946, -0.016, 0.0624]","[-0.0279, -0.0211, 0.0088]","[-0.0139, 0.0166, 0.023]"
1720611643.306,"[0.007, 0.0448, 0.1082]","[0.018, 0.0026, 0.0556]","[-0.0068, -0.0089, 0.0247]","[0.0012, 0.0385, 0.0883]"
1720611643.306,"[0.1287, 0.0582, 0.0162]","[-0.0513, 0.0205, -0.0108]","[0.0591, 0.0241, -0.0642]","[-0.0048, 0.0719, -0.0219]"
1720611643.321,"[0.0427, 0.0187, 0.0215]","[0.0136, -0.0124, -0.034]","[-0.0822, -0.0179, -0.0777]","[-0.0075, -0.0224, 0.0262]"
1720611643.337,"[0.0423, 0.0189, 0.0528]","[0.0435, -0.0169, -0.0382]","[-0.0008, -0.0365, -0.0396]","[-0.0325, -0.0066, 0.0184]"
1720611643.337,"[0.0308, 0.0316, 0.0585]","[0.0415, -0.0128, -0.0104]","[-0.0162, -0.0482, -0.1298]","[-0.0253, -0.0067, 0.0139]"
1720611643.354,"[0.0166, 0.0351, 0.0782]","[-0.0504, -0.0242, -0.0155]","[0.1184, 0.0024, -0.1143]","[0.0415, 0.0391, 0.0003]"
1720611643.354,"[0.0507, 0.0886, 0.0727]","[0.0247, 0.0305, -0.0297]","[0.0109, 0.0105, -0.1286]","[-0.122, -0.0048, 0.0791]"
1720611643.37,"[0.0903, 0.127, 0.1664]","[0.0601, 0.0398, 0.0494]","[0.0388, 0.0225, -0.0153]","[0.0371, 0.1062, 0.0912]"
1720611643.386,"[0.1221, 0.1479, 0.0831]","[0.0642, 0.0706, 0.0654]","[0.0483, 0.0529, 0.0058]","[0.0999, 0.1154, 0.0812]"
1720611643.386,"[0.169, 0.1742, 0.0551]","[0.0735, 0.0816, 0.0189]","[0.068, 0.0582, -0.0053]","[0.1427, 0.1269, 0.0691]"
1720611643.406,"[0.1922, 0.1637, 0.0568]","[0.0985, 0.0334, -0.0365]","[0.0902, -0.0459, -0.0468]","[0.1697, 0.0692, 0.0579]"
1720611643.406,"[0.2219, 0.2107, 0.1079]","[0.2513, 0.0822, -0.066]","[0.1451, 0.0211, -0.1155]","[0.2169, 0.1348, 0.0217]"
1720611643.437,"[0.3282, 0.3141, 0.1675]","[0.2175, 0.1353, 0.097]","[0.0275, 0.0557, -0.0294]","[0.3125, 0.1883, 0.1287]"
1720611643.437,"[0.211, 0.3296, 0.1261]","[0.065, 0.1381, 0.0775]","[-0.0508, 0.0874, 0.0007]","[0.1952, 0.2699, 0.079]"
1720611643.437,"[0.2649, 0.3332, 0.1861]","[0.1214, 0.1397, 0.0814]","[-0.0719, 0.0186, -0.0689]","[0.2539, 0.2193, 0.0533]"
1720611643.453,"[-0.0461, 0.021, 0.1582]","[-0.1132, -0.0534, 0.0164]","[-0.1396, -0.0917, -0.0516]","[0.0534, 0.0473, 0.0299]"
1720611643.468,"[-0.0066, 0.0604, 0.2075]","[-0.1591, -0.0772, 0.0518]","[-0.1039, -0.1261, 0.0111]","[0.0006, -0.0199, 0.0758]"
1720611643.468,"[0.2198, 0.1282, -0.0743]","[-0.1669, -0.0831, -0.0134]","[-0.0402, -0.0661, -0.1003]","[0.1658, 0.0311, -0.0442]"
1720611643.484,"[0.1216, 0.1826, 0.1679]","[-0.0016, 0.0328, 0.0357]","[-0.1069, -0.012, -0.032]","[0.0426, 0.1305, 0.0917]"
1720611643.484,"[0.1421, 0.1668, 0.1908]","[-0.0191, 0.0126, 0.0476]","[-0.0782, -0.0465, -0.0107]","[0.0786, 0.1093, 0.1106]"
1720611643.506,"[0.1068, 0.1268, 0.1807]","[-0.0063, 0.0055, 0.0354]","[-0.1012, -0.1269, -0.0253]","[0.0416, 0.0276, 0.0965]"
1720611643.506,"[0.0848, 0.089, 0.0999]","[-0.0121, -0.0958, -0.0889]","[-0.1692, -0.191, -0.093]","[0.0258, -0.0118, 0.0556]"
1720611643.522,"[0.1172, 0.0691, 0.0922]","[-0.0112, -0.0513, -0.0174]","[-0.1338, -0.1433, -0.0876]","[0.038, -0.0062, 0.0669]"
1720611643.537,"[0.0391, 0.0767, 0.0506]","[-0.1022, -0.0122, -0.0855]","[-0.153, -0.1441, -0.1168]","[0.0187, -0.0024, 0.0419]"
1720611643.537,"[0.0359, 0.0503, 0.1882]","[-0.132, -0.0974, -0.1136]","[-0.1763, -0.1621, -0.1621]","[-0.0303, -0.0222, 0.0316]"
1720611643.553,"[-0.0071, 0.0235, 0.0267]","[-0.1496, -0.1313, -0.0479]","[-0.2119, -0.1852, -0.0172]","[-0.1525, -0.0298, 0.042]"
1720611643.569,"[-0.022, -0.1798, -0.072]","[-0.0746, -0.0935, -0.1124]","[-0.2001, -0.1679, -0.1753]","[-0.1476, -0.0364, -0.0244]"
1720611643.569,"[-0.0439, 0.0898, 0.0601]","[0.0065, -0.0823, -0.1391]","[-0.1826, -0.1442, -0.1679]","[-0.1147, 0.0107, 0.0165]"
1720611643.6,"[0.026, -0.046, 0.0825]","[-0.0836, -0.1851, -0.0738]","[-0.094, -0.1384, -0.1109]","[-0.1051, -0.0924, 0.0071]"
